Entity,Code,Day,Daily new confirmed cases of COVID-19,Daily new confirmed deaths due to COVID-19
Estonia,EST,1/15/2021,475,5
Eswatini,SWZ,1/15/2021,205,8
Ethiopia,ETH,1/15/2021,404,15
Europe,,1/15/2021,245856,5669
European Union,,1/15/2021,148030,3527
Fiji,FJI,1/15/2021,0,0
Finland,FIN,1/15/2021,318,2
France,FRA,1/15/2021,21317,636
Gabon,GAB,1/15/2021,80,0
Gambia,GMB,1/15/2021,4,1
Georgia,GEO,1/15/2021,1177,26
Germany,DEU,1/15/2021,8593,498
Ghana,GHA,1/15/2021,0,0
Greece,GRC,1/15/2021,577,34
Grenada,GRD,1/15/2021,7,0
Guatemala,GTM,1/15/2021,623,26
Guinea,GIN,1/15/2021,14,0
Guinea-Bissau,GNB,1/15/2021,0,0
Guyana,GUY,1/15/2021,60,0
Haiti,HTI,1/15/2021,154,0
High income,,1/15/2021,481376,9153
Honduras,HND,1/15/2021,449,9
Hong Kong,HKG,1/15/2021,38,0
Hungary,HUN,1/15/2021,1513,111
Iceland,ISL,1/15/2021,8,0
India,IND,1/15/2021,15158,175
Indonesia,IDN,1/15/2021,12818,238
International,,1/15/2021,0,0
Iran,IRN,1/15/2021,6485,83
Iraq,IRQ,1/15/2021,805,10
Ireland,IRL,1/15/2021,3491,48
Israel,ISR,1/15/2021,5235,40
Italy,ITA,1/15/2021,16144,477
Jamaica,JAM,1/15/2021,77,1
Japan,JPN,1/15/2021,7137,78
Jordan,JOR,1/15/2021,808,14
Kazakhstan,KAZ,1/15/2021,1043,1
Kenya,KEN,1/15/2021,166,3
Kosovo,OWID_KOS,1/15/2021,296,7
Kuwait,KWT,1/15/2021,530,1
Kyrgyzstan,KGZ,1/15/2021,263,4
Laos,LAO,1/15/2021,0,
Latvia,LVA,1/15/2021,1084,15
Lebanon,LBN,1/15/2021,6154,44
Lesotho,LSO,1/15/2021,15,4
Liberia,LBR,1/15/2021,4,0
Libya,LBY,1/15/2021,583,6
Liechtenstein,LIE,1/15/2021,3,0
Lithuania,LTU,1/15/2021,1224,35
Low income,,1/15/2021,3551,67
Lower middle income,,1/15/2021,47899,906
Luxembourg,LUX,1/15/2021,144,4
Madagascar,MDG,1/15/2021,0,0
Malawi,MWI,1/15/2021,1232,16
Malaysia,MYS,1/15/2021,3211,8
Maldives,MDV,1/15/2021,50,0
Mali,MLI,1/15/2021,41,3
Malta,MLT,1/15/2021,193,1
Marshall Islands,MHL,1/15/2021,0,
Mauritania,MRT,1/15/2021,70,4
Mauritius,MUS,1/15/2021,0,0
Mexico,MEX,1/15/2021,21366,1106
Moldova,MDA,1/15/2021,576,17
Monaco,MCO,1/15/2021,24,0
Mongolia,MNG,1/15/2021,21,0
Montenegro,MNE,1/15/2021,414,1
Morocco,MAR,1/15/2021,1291,34
Mozambique,MOZ,1/15/2021,735,5
Myanmar,MMR,1/15/2021,513,14
Namibia,NAM,1/15/2021,319,5
Nepal,NPL,1/15/2021,270,5
Netherlands,NLD,1/15/2021,6082,94
New Zealand,NZL,1/15/2021,0,0
Nicaragua,NIC,1/15/2021,0,0
Niger,NER,1/15/2021,47,1
Nigeria,NGA,1/15/2021,1867,8
North America,,1/15/2021,278176,5276
North Macedonia,MKD,1/15/2021,403,10
Norway,NOR,1/15/2021,466,6
Oceania,,1/15/2021,20,0
Oman,OMN,1/15/2021,0,0
Pakistan,PAK,1/15/2021,2432,45
Palestine,PSE,1/15/2021,637,22
Panama,PAN,1/15/2021,2307,38
Papua New Guinea,PNG,1/15/2021,0,0
Paraguay,PRY,1/15/2021,1149,13
Peru,PER,1/15/2021,15792,255
Philippines,PHL,1/15/2021,2041,137
Poland,POL,1/15/2021,7958,388
Portugal,PRT,1/15/2021,10663,159
Qatar,QAT,1/15/2021,196,0
Romania,ROU,1/15/2021,3353,63
Russia,RUS,1/15/2021,24294,542
Rwanda,RWA,1/15/2021,257,5
Saint Kitts and Nevis,KNA,1/15/2021,0,
Saint Lucia,LCA,1/15/2021,33,0
Saint Vincent and the Grenadines,VCT,1/15/2021,110,1
Samoa,WSM,1/15/2021,0,
San Marino,SMR,1/15/2021,30,0
Sao Tome and Principe,STP,1/15/2021,6,0
Saudi Arabia,SAU,1/15/2021,173,3
Senegal,SEN,1/15/2021,218,10
Serbia,SRB,1/15/2021,1751,21
Seychelles,SYC,1/15/2021,29,0
Sierra Leone,SLE,1/15/2021,26,0
Singapore,SGP,1/15/2021,30,0
Slovakia,SVK,1/15/2021,2729,102
Slovenia,SVN,1/15/2021,1544,28
Solomon Islands,SLB,1/15/2021,0,
Somalia,SOM,1/15/2021,0,0
South Africa,ZAF,1/15/2021,14880,615
South America,,1/15/2021,129021,2057
South Korea,KOR,1/15/2021,579,19
South Sudan,SSD,1/15/2021,0,0
Spain,ESP,1/15/2021,40197,235
Sri Lanka,LKA,1/15/2021,695,4
Sudan,SDN,1/15/2021,128,0
Suriname,SUR,1/15/2021,109,0
Sweden,SWE,1/15/2021,4703,138
Switzerland,CHE,1/15/2021,2396,60
Syria,SYR,1/15/2021,90,8
Taiwan,TWN,1/15/2021,1,0
Tajikistan,TJK,1/15/2021,0,0
Tanzania,TZA,1/15/2021,0,0
Thailand,THA,1/15/2021,230,1
Timor,TLS,1/15/2021,0,
Togo,TGO,1/15/2021,55,0
Trinidad and Tobago,TTO,1/15/2021,23,0
Tunisia,TUN,1/15/2021,4170,50
Turkey,TUR,1/15/2021,8314,169
Uganda,UGA,1/15/2021,0,0
Ukraine,UKR,1/15/2021,8620,179
United Arab Emirates,ARE,1/15/2021,3407,7
United Kingdom,GBR,1/15/2021,55885,1285
United States,USA,1/15/2021,242780,3893
Upper middle income,,1/15/2021,234410,4985
Uruguay,URY,1/15/2021,957,11
Uzbekistan,UZB,1/15/2021,127,1
Vanuatu,VUT,1/15/2021,0,
Vatican,VAT,1/15/2021,0,
Venezuela,VEN,1/15/2021,441,5
Vietnam,VNM,1/15/2021,5,0
World,OWID_WRL,1/15/2021,767236,15111
World excl. China,,1/15/2021,767106,15111
World excl. China and South Korea,,1/15/2021,766527,15092
"World excl. China, South Korea, Japan and Singapore",,1/15/2021,759360,15014
Yemen,YEM,1/15/2021,1,0
Zambia,ZMB,1/15/2021,1478,13
Zimbabwe,ZWE,1/15/2021,741,30
Afghanistan,AFG,1/16/2021,107,12
Africa,,1/16/2021,27568,663
Albania,ALB,1/16/2021,581,5
Algeria,DZA,1/16/2021,230,4
Andorra,AND,1/16/2021,92,3
Angola,AGO,1/16/2021,86,3
Antigua and Barbuda,ATG,1/16/2021,3,0
Argentina,ARG,1/16/2021,8932,68
Armenia,ARM,1/16/2021,263,13
Asia,,1/16/2021,85733,1112
Asia excl. China,,1/16/2021,85624,1112
Australia,AUS,1/16/2021,19,0
Austria,AUT,1/16/2021,1723,66
Azerbaijan,AZE,1/16/2021,402,15
Bahamas,BHS,1/16/2021,11,0
Bahrain,BHR,1/16/2021,248,1
Bangladesh,BGD,1/16/2021,578,21
Barbados,BRB,1/16/2021,59,0
Belarus,BLR,1/16/2021,1933,9
Belgium,BEL,1/16/2021,2120,44
Belize,BLZ,1/16/2021,0,0
Benin,BEN,1/16/2021,0,0
Bhutan,BTN,1/16/2021,5,0
Bolivia,BOL,1/16/2021,2091,25
Bosnia and Herzegovina,BIH,1/16/2021,0,0
Botswana,BWA,1/16/2021,0,0
Brazil,BRA,1/16/2021,61567,1050
Brunei,BRN,1/16/2021,0,0
Bulgaria,BGR,1/16/2021,233,17
Burkina Faso,BFA,1/16/2021,118,4
Burundi,BDI,1/16/2021,35,0
Cambodia,KHM,1/16/2021,3,
Cameroon,CMR,1/16/2021,674,4
Canada,CAN,1/16/2021,6359,122
Cape Verde,CPV,1/16/2021,125,1
Central African Republic,CAF,1/16/2021,0,0
Chad,TCD,1/16/2021,48,0
Chile,CHL,1/16/2021,4313,66
China,CHN,1/16/2021,109,0
Colombia,COL,1/16/2021,20855,388
Comoros,COM,1/16/2021,108,3
Congo,COG,1/16/2021,0,0
Costa Rica,CRI,1/16/2021,0,0
Cote d'Ivoire,CIV,1/16/2021,0,0
Croatia,HRV,1/16/2021,763,38
Cuba,CUB,1/16/2021,405,4
Cyprus,CYP,1/16/2021,202,1
Czechia,CZE,1/16/2021,9301,186
Democratic Republic of Congo,COD,1/16/2021,137,2
Denmark,DNK,1/16/2021,880,27
Djibouti,DJI,1/16/2021,0,0
Dominica,DMA,1/16/2021,1,
Dominican Republic,DOM,1/16/2021,2370,0
Ecuador,ECU,1/16/2021,3942,43
Egypt,EGY,1/16/2021,887,54
El Salvador,SLV,1/16/2021,317,10
Equatorial Guinea,GNQ,1/16/2021,40,0
Eritrea,ERI,1/16/2021,0,0
Estonia,EST,1/16/2021,595,4
Eswatini,SWZ,1/16/2021,204,17
Ethiopia,ETH,1/16/2021,446,6
Europe,,1/16/2021,185204,4944
European Union,,1/16/2021,106529,2810
Fiji,FJI,1/16/2021,2,0
Finland,FIN,1/16/2021,190,0
France,FRA,1/16/2021,21409,193
Gabon,GAB,1/16/2021,0,0
Gambia,GMB,1/16/2021,0,0
Georgia,GEO,1/16/2021,1236,23
Germany,DEU,1/16/2021,14817,759
Ghana,GHA,1/16/2021,0,0
Greece,GRC,1/16/2021,510,20
Grenada,GRD,1/16/2021,0,0
Guatemala,GTM,1/16/2021,1038,43
Guinea,GIN,1/16/2021,33,0
Guinea-Bissau,GNB,1/16/2021,0,0
Guyana,GUY,1/16/2021,46,0
Haiti,HTI,1/16/2021,66,0
High income,,1/16/2021,384781,7912
Honduras,HND,1/16/2021,1095,4
Hong Kong,HKG,1/16/2021,50,1
Hungary,HUN,1/16/2021,1438,87
Iceland,ISL,1/16/2021,0,0
India,IND,1/16/2021,15144,181
Indonesia,IDN,1/16/2021,14224,283
International,,1/16/2021,0,0
Iran,IRN,1/16/2021,6100,96
Iraq,IRQ,1/16/2021,596,3
Ireland,IRL,1/16/2021,3232,59
Israel,ISR,1/16/2021,8450,49
Italy,ITA,1/16/2021,16310,475
Jamaica,JAM,1/16/2021,104,0
Japan,JPN,1/16/2021,7071,56
Jordan,JOR,1/16/2021,706,16
Kazakhstan,KAZ,1/16/2021,1072,4
Kenya,KEN,1/16/2021,223,2
Kosovo,OWID_KOS,1/16/2021,0,0
Kuwait,KWT,1/16/2021,435,0
Kyrgyzstan,KGZ,1/16/2021,123,2
Laos,LAO,1/16/2021,0,
Latvia,LVA,1/16/2021,1031,26
Lebanon,LBN,1/16/2021,5872,41
Lesotho,LSO,1/16/2021,0,0
Liberia,LBR,1/16/2021,5,0
Libya,LBY,1/16/2021,0,0
Liechtenstein,LIE,1/16/2021,5,0
Lithuania,LTU,1/16/2021,1234,34
Low income,,1/16/2021,2980,60
Lower middle income,,1/16/2021,44890,742
Luxembourg,LUX,1/16/2021,0,0
Madagascar,MDG,1/16/2021,0,0
Malawi,MWI,1/16/2021,562,9
Malaysia,MYS,1/16/2021,4029,8
Maldives,MDV,1/16/2021,51,0
Mali,MLI,1/16/2021,23,0
Malta,MLT,1/16/2021,175,2
Marshall Islands,MHL,1/16/2021,0,
Mauritania,MRT,1/16/2021,36,1
Mauritius,MUS,1/16/2021,0,0
Mexico,MEX,1/16/2021,20523,1219
Moldova,MDA,1/16/2021,377,17
Monaco,MCO,1/16/2021,25,0
Mongolia,MNG,1/16/2021,5,0
Montenegro,MNE,1/16/2021,406,2
Morocco,MAR,1/16/2021,1240,23
Mozambique,MOZ,1/16/2021,858,18
Myanmar,MMR,1/16/2021,491,16
Namibia,NAM,1/16/2021,309,0
Nepal,NPL,1/16/2021,240,6
Netherlands,NLD,1/16/2021,5324,97
New Zealand,NZL,1/16/2021,10,0
Nicaragua,NIC,1/16/2021,0,0
Niger,NER,1/16/2021,27,0
Nigeria,NGA,1/16/2021,1598,7
North America,,1/16/2021,236948,4864
North Macedonia,MKD,1/16/2021,360,14
Norway,NOR,1/16/2021,243,0
Oceania,,1/16/2021,31,0
Oman,OMN,1/16/2021,0,0
Pakistan,PAK,1/16/2021,2521,43
Palestine,PSE,1/16/2021,427,13
Panama,PAN,1/16/2021,2677,49
Papua New Guinea,PNG,1/16/2021,0,0
Paraguay,PRY,1/16/2021,859,16
Peru,PER,1/16/2021,0,0
Philippines,PHL,1/16/2021,2045,8
Poland,POL,1/16/2021,7292,369
Portugal,PRT,1/16/2021,10947,166
Qatar,QAT,1/16/2021,204,0
Romania,ROU,1/16/2021,3218,66
Russia,RUS,1/16/2021,23670,576
Rwanda,RWA,1/16/2021,277,2
Saint Kitts and Nevis,KNA,1/16/2021,0,
Saint Lucia,LCA,1/16/2021,35,2
Saint Vincent and the Grenadines,VCT,1/16/2021,0,0
Samoa,WSM,1/16/2021,0,
San Marino,SMR,1/16/2021,11,0
Sao Tome and Principe,STP,1/16/2021,5,0
Saudi Arabia,SAU,1/16/2021,140,5
Senegal,SEN,1/16/2021,342,3
Serbia,SRB,1/16/2021,1393,22
Seychelles,SYC,1/16/2021,40,1
Sierra Leone,SLE,1/16/2021,11,0
Singapore,SGP,1/16/2021,24,0
Slovakia,SVK,1/16/2021,2045,55
Slovenia,SVN,1/16/2021,1540,19
Solomon Islands,SLB,1/16/2021,0,
Somalia,SOM,1/16/2021,0,0
South Africa,ZAF,1/16/2021,13973,384
South America,,1/16/2021,103838,1671
South Korea,KOR,1/16/2021,520,13
South Sudan,SSD,1/16/2021,0,0
Spain,ESP,1/16/2021,0,0
Sri Lanka,LKA,1/16/2021,719,1
Sudan,SDN,1/16/2021,82,0
Suriname,SUR,1/16/2021,60,2
Sweden,SWE,1/16/2021,0,0
Switzerland,CHE,1/16/2021,0,29
Syria,SYR,1/16/2021,92,7
Taiwan,TWN,1/16/2021,8,0
Tajikistan,TJK,1/16/2021,0,0
Tanzania,TZA,1/16/2021,0,0
Thailand,THA,1/16/2021,374,0
Timor,TLS,1/16/2021,1,
Togo,TGO,1/16/2021,52,0
Trinidad and Tobago,TTO,1/16/2021,27,1
Tunisia,TUN,1/16/2021,2166,88
Turkey,TUR,1/16/2021,7550,168
Uganda,UGA,1/16/2021,0,0
Ukraine,UKR,1/16/2021,8151,158
United Arab Emirates,ARE,1/16/2021,3432,7
United Kingdom,GBR,1/16/2021,41428,1299
United States,USA,1/16/2021,201858,3410
Upper middle income,,1/16/2021,206671,4540
Uruguay,URY,1/16/2021,723,7
Uzbekistan,UZB,1/16/2021,64,0
Vanuatu,VUT,1/16/2021,0,
Vatican,VAT,1/16/2021,0,
Venezuela,VEN,1/16/2021,450,6
Vietnam,VNM,1/16/2021,1,0
World,OWID_WRL,1/16/2021,639322,13254
World excl. China,,1/16/2021,639213,13254
World excl. China and South Korea,,1/16/2021,638693,13241
"World excl. China, South Korea, Japan and Singapore",,1/16/2021,631598,13185
Yemen,YEM,1/16/2021,1,0
Zambia,ZMB,1/16/2021,1796,10
Zimbabwe,ZWE,1/16/2021,772,17
Afghanistan,AFG,1/17/2021,46,3
Africa,,1/17/2021,26569,598
Albania,ALB,1/17/2021,474,7
Algeria,DZA,1/17/2021,222,5
Andorra,AND,1/17/2021,45,0
Angola,AGO,1/17/2021,110,5
Antigua and Barbuda,ATG,1/17/2021,2,0
Argentina,ARG,1/17/2021,7264,112
Armenia,ARM,1/17/2021,351,5
Asia,,1/17/2021,75180,978
Asia excl. China,,1/17/2021,75071,978
Australia,AUS,1/17/2021,13,0
Austria,AUT,1/17/2021,1267,29
Azerbaijan,AZE,1/17/2021,322,11
Bahamas,BHS,1/17/2021,0,0
Bahrain,BHR,1/17/2021,339,2
Bangladesh,BGD,1/17/2021,569,23
Barbados,BRB,1/17/2021,0,0
Belarus,BLR,1/17/2021,1924,9
Belgium,BEL,1/17/2021,1630,39
Belize,BLZ,1/17/2021,51,0
Benin,BEN,1/17/2021,0,0
Bhutan,BTN,1/17/2021,0,0
Bolivia,BOL,1/17/2021,1503,40
Bosnia and Herzegovina,BIH,1/17/2021,0,0
Botswana,BWA,1/17/2021,0,0
Brazil,BRA,1/17/2021,33040,551
Brunei,BRN,1/17/2021,0,0
Bulgaria,BGR,1/17/2021,77,9
Burkina Faso,BFA,1/17/2021,188,1
Burundi,BDI,1/17/2021,51,0
Cambodia,KHM,1/17/2021,0,
Cameroon,CMR,1/17/2021,0,0
Canada,CAN,1/17/2021,6284,128
Cape Verde,CPV,1/17/2021,92,0
Central African Republic,CAF,1/17/2021,0,0
Chad,TCD,1/17/2021,40,0
Chile,CHL,1/17/2021,4339,42
China,CHN,1/17/2021,109,0
Colombia,COL,1/17/2021,17379,375
Comoros,COM,1/17/2021,15,4
Congo,COG,1/17/2021,0,0
Costa Rica,CRI,1/17/2021,0,0
Cote d'Ivoire,CIV,1/17/2021,385,0
Croatia,HRV,1/17/2021,379,28
Cuba,CUB,1/17/2021,650,4
Cyprus,CYP,1/17/2021,157,3
Czechia,CZE,1/17/2021,5253,123
Democratic Republic of Congo,COD,1/17/2021,215,1
Denmark,DNK,1/17/2021,889,28
Djibouti,DJI,1/17/2021,2,0
Dominica,DMA,1/17/2021,0,
Dominican Republic,DOM,1/17/2021,1779,5
Ecuador,ECU,1/17/2021,674,3
Egypt,EGY,1/17/2021,890,56
El Salvador,SLV,1/17/2021,323,8
Equatorial Guinea,GNQ,1/17/2021,0,0
Eritrea,ERI,1/17/2021,0,0
Estonia,EST,1/17/2021,388,5
Eswatini,SWZ,1/17/2021,208,16
Ethiopia,ETH,1/17/2021,423,1
Europe,,1/17/2021,155921,3221
European Union,,1/17/2021,82216,1875
Fiji,FJI,1/17/2021,0,0
Finland,FIN,1/17/2021,236,0
France,FRA,1/17/2021,16642,141
Gabon,GAB,1/17/2021,0,0
Gambia,GMB,1/17/2021,13,0
Georgia,GEO,1/17/2021,780,17
Germany,DEU,1/17/2021,11484,437
Ghana,GHA,1/17/2021,733,5
Greece,GRC,1/17/2021,237,28
Grenada,GRD,1/17/2021,0,0
Guatemala,GTM,1/17/2021,290,34
Guinea,GIN,1/17/2021,16,0
Guinea-Bissau,GNB,1/17/2021,31,0
Guyana,GUY,1/17/2021,57,0
Haiti,HTI,1/17/2021,146,2
High income,,1/17/2021,331644,4814
Honduras,HND,1/17/2021,604,6
Hong Kong,HKG,1/17/2021,55,0
Hungary,HUN,1/17/2021,1241,77
Iceland,ISL,1/17/2021,0,0
India,IND,1/17/2021,13788,145
Indonesia,IDN,1/17/2021,11287,220
International,,1/17/2021,0,0
Iran,IRN,1/17/2021,6016,86
Iraq,IRQ,1/17/2021,645,9
Ireland,IRL,1/17/2021,2946,13
Israel,ISR,1/17/2021,8190,46
Italy,ITA,1/17/2021,12544,377
Jamaica,JAM,1/17/2021,65,1
Japan,JPN,1/17/2021,5773,49
Jordan,JOR,1/17/2021,957,8
Kazakhstan,KAZ,1/17/2021,1020,2
Kenya,KEN,1/17/2021,80,3
Kosovo,OWID_KOS,1/17/2021,716,11
Kuwait,KWT,1/17/2021,378,0
Kyrgyzstan,KGZ,1/17/2021,69,3
Laos,LAO,1/17/2021,0,
Latvia,LVA,1/17/2021,567,17
Lebanon,LBN,1/17/2021,3654,40
Lesotho,LSO,1/17/2021,0,0
Liberia,LBR,1/17/2021,0,0
Libya,LBY,1/17/2021,1071,14
Liechtenstein,LIE,1/17/2021,6,0
Lithuania,LTU,1/17/2021,842,31
Low income,,1/17/2021,3302,76
Lower middle income,,1/17/2021,39250,723
Luxembourg,LUX,1/17/2021,0,0
Madagascar,MDG,1/17/2021,300,6
Malawi,MWI,1/17/2021,685,14
Malaysia,MYS,1/17/2021,3339,7
Maldives,MDV,1/17/2021,87,0
Mali,MLI,1/17/2021,16,2
Malta,MLT,1/17/2021,141,1
Marshall Islands,MHL,1/17/2021,0,
Mauritania,MRT,1/17/2021,40,1
Mauritius,MUS,1/17/2021,0,0
Mexico,MEX,1/17/2021,11170,463
Moldova,MDA,1/17/2021,214,5
Monaco,MCO,1/17/2021,11,0
Mongolia,MNG,1/17/2021,9,0
Montenegro,MNE,1/17/2021,357,2
Morocco,MAR,1/17/2021,806,31
Mozambique,MOZ,1/17/2021,689,7
Myanmar,MMR,1/17/2021,449,13
Namibia,NAM,1/17/2021,165,5
Nepal,NPL,1/17/2021,266,5
Netherlands,NLD,1/17/2021,5643,41
New Zealand,NZL,1/17/2021,6,0
Nicaragua,NIC,1/17/2021,0,0
Niger,NER,1/17/2021,24,2
Nigeria,NGA,1/17/2021,1444,15
North America,,1/17/2021,201096,2602
North Macedonia,MKD,1/17/2021,189,6
Norway,NOR,1/17/2021,206,0
Oceania,,1/17/2021,19,0
Oman,OMN,1/17/2021,526,3
Pakistan,PAK,1/17/2021,1920,46
Palestine,PSE,1/17/2021,462,18
Panama,PAN,1/17/2021,1750,49
Papua New Guinea,PNG,1/17/2021,0,0
Paraguay,PRY,1/17/2021,512,10
Peru,PER,1/17/2021,4544,116
Philippines,PHL,1/17/2021,1886,11
Poland,POL,1/17/2021,5970,142
Portugal,PRT,1/17/2021,10385,152
Qatar,QAT,1/17/2021,188,0
Romania,ROU,1/17/2021,2156,57
Russia,RUS,1/17/2021,23178,467
Rwanda,RWA,1/17/2021,182,2
Saint Kitts and Nevis,KNA,1/17/2021,0,
Saint Lucia,LCA,1/17/2021,0,0
Saint Vincent and the Grenadines,VCT,1/17/2021,28,0
Samoa,WSM,1/17/2021,0,
San Marino,SMR,1/17/2021,0,0
Sao Tome and Principe,STP,1/17/2021,12,0
Saudi Arabia,SAU,1/17/2021,176,5
Senegal,SEN,1/17/2021,290,6
Serbia,SRB,1/17/2021,1317,20
Seychelles,SYC,1/17/2021,9,0
Sierra Leone,SLE,1/17/2021,36,0
Singapore,SGP,1/17/2021,30,0
Slovakia,SVK,1/17/2021,573,57
Slovenia,SVN,1/17/2021,569,40
Solomon Islands,SLB,1/17/2021,0,
Somalia,SOM,1/17/2021,0,0
South Africa,ZAF,1/17/2021,12267,254
South America,,1/17/2021,70576,1267
South Korea,KOR,1/17/2021,389,15
South Sudan,SSD,1/17/2021,23,0
Spain,ESP,1/17/2021,0,0
Sri Lanka,LKA,1/17/2021,749,8
Sudan,SDN,1/17/2021,54,27
Suriname,SUR,1/17/2021,58,0
Sweden,SWE,1/17/2021,0,0
Switzerland,CHE,1/17/2021,0,7
Syria,SYR,1/17/2021,94,8
Taiwan,TWN,1/17/2021,4,0
Tajikistan,TJK,1/17/2021,0,0
Tanzania,TZA,1/17/2021,0,0
Thailand,THA,1/17/2021,369,0
Timor,TLS,1/17/2021,0,
Togo,TGO,1/17/2021,30,0
Trinidad and Tobago,TTO,1/17/2021,23,1
Tunisia,TUN,1/17/2021,2859,76
Turkey,TUR,1/17/2021,6436,165
Uganda,UGA,1/17/2021,0,0
Ukraine,UKR,1/17/2021,6398,130
United Arab Emirates,ARE,1/17/2021,3453,5
United Kingdom,GBR,1/17/2021,38670,682
United States,USA,1/17/2021,177931,1901
Upper middle income,,1/17/2021,155165,3053
Uruguay,URY,1/17/2021,709,13
Uzbekistan,UZB,1/17/2021,0,0
Vanuatu,VUT,1/17/2021,0,
Vatican,VAT,1/17/2021,0,
Venezuela,VEN,1/17/2021,497,5
Vietnam,VNM,1/17/2021,0,0
World,OWID_WRL,1/17/2021,529361,8666
World excl. China,,1/17/2021,529252,8666
World excl. China and South Korea,,1/17/2021,528863,8651
"World excl. China, South Korea, Japan and Singapore",,1/17/2021,523060,8602
Yemen,YEM,1/17/2021,0,0
Zambia,ZMB,1/17/2021,1531,9
Zimbabwe,ZWE,1/17/2021,322,30
Afghanistan,AFG,1/18/2021,78,4
Africa,,1/18/2021,22476,725
Albania,ALB,1/18/2021,292,4
Algeria,DZA,1/18/2021,259,4
Andorra,AND,1/18/2021,0,0
Angola,AGO,1/18/2021,51,3
Antigua and Barbuda,ATG,1/18/2021,0,0
Argentina,ARG,1/18/2021,8185,425
Armenia,ARM,1/18/2021,90,6
Asia,,1/18/2021,64552,1072
Asia excl. China,,1/18/2021,64434,1072
Australia,AUS,1/18/2021,10,0
Austria,AUT,1/18/2021,1161,40
Azerbaijan,AZE,1/18/2021,118,13
Bahamas,BHS,1/18/2021,35,0
Bahrain,BHR,1/18/2021,333,0
Bangladesh,BGD,1/18/2021,697,16
Barbados,BRB,1/18/2021,0,0
Belarus,BLR,1/18/2021,1899,9
Belgium,BEL,1/18/2021,932,37
Belize,BLZ,1/18/2021,12,1
Benin,BEN,1/18/2021,0,0
Bhutan,BTN,1/18/2021,1,0
Bolivia,BOL,1/18/2021,1550,44
Bosnia and Herzegovina,BIH,1/18/2021,1072,75
Botswana,BWA,1/18/2021,1265,17
Brazil,BRA,1/18/2021,23671,452
Brunei,BRN,1/18/2021,0,0
Bulgaria,BGR,1/18/2021,570,82
Burkina Faso,BFA,1/18/2021,164,3
Burundi,BDI,1/18/2021,9,0
Cambodia,KHM,1/18/2021,2,
Cameroon,CMR,1/18/2021,0,0
Canada,CAN,1/18/2021,6420,125
Cape Verde,CPV,1/18/2021,53,1
Central African Republic,CAF,1/18/2021,0,0
Chad,TCD,1/18/2021,24,2
Chile,CHL,1/18/2021,3918,70
China,CHN,1/18/2021,118,0
Colombia,COL,1/18/2021,14719,373
Comoros,COM,1/18/2021,177,4
Congo,COG,1/18/2021,0,0
Costa Rica,CRI,1/18/2021,1829,42
Cote d'Ivoire,CIV,1/18/2021,63,1
Croatia,HRV,1/18/2021,174,39
Cuba,CUB,1/18/2021,292,3
Cyprus,CYP,1/18/2021,162,5
Czechia,CZE,1/18/2021,2693,111
Democratic Republic of Congo,COD,1/18/2021,152,3
Denmark,DNK,1/18/2021,807,30
Djibouti,DJI,1/18/2021,0,0
Dominica,DMA,1/18/2021,0,
Dominican Republic,DOM,1/18/2021,1848,11
Ecuador,ECU,1/18/2021,162,3
Egypt,EGY,1/18/2021,878,55
El Salvador,SLV,1/18/2021,330,11
Equatorial Guinea,GNQ,1/18/2021,9,0
Eritrea,ERI,1/18/2021,0,0
Estonia,EST,1/18/2021,265,8
Eswatini,SWZ,1/18/2021,243,8
Ethiopia,ETH,1/18/2021,351,3
Europe,,1/18/2021,209320,3878
European Union,,1/18/2021,135234,2483
Fiji,FJI,1/18/2021,0,0
Finland,FIN,1/18/2021,168,0
France,FRA,1/18/2021,3798,404
Gabon,GAB,1/18/2021,120,0
Gambia,GMB,1/18/2021,23,1
Georgia,GEO,1/18/2021,110,25
Germany,DEU,1/18/2021,9253,362
Ghana,GHA,1/18/2021,351,6
Greece,GRC,1/18/2021,318,19
Grenada,GRD,1/18/2021,0,0
Guatemala,GTM,1/18/2021,258,24
Guinea,GIN,1/18/2021,51,0
Guinea-Bissau,GNB,1/18/2021,0,0
Guyana,GUY,1/18/2021,23,0
Haiti,HTI,1/18/2021,0,0
High income,,1/18/2021,350114,5031
Honduras,HND,1/18/2021,827,14
Hong Kong,HKG,1/18/2021,107,1
Hungary,HUN,1/18/2021,875,68
Iceland,ISL,1/18/2021,14,0
India,IND,1/18/2021,10050,137
Indonesia,IDN,1/18/2021,9086,295
International,,1/18/2021,0,0
Iran,IRN,1/18/2021,5806,83
Iraq,IRQ,1/18/2021,797,9
Ireland,IRL,1/18/2021,2117,8
Israel,ISR,1/18/2021,6560,39
Italy,ITA,1/18/2021,8825,377
Jamaica,JAM,1/18/2021,113,2
Japan,JPN,1/18/2021,4890,58
Jordan,JOR,1/18/2021,1030,8
Kazakhstan,KAZ,1/18/2021,1017,2
Kenya,KEN,1/18/2021,65,3
Kosovo,OWID_KOS,1/18/2021,0,0
Kuwait,KWT,1/18/2021,467,1
Kyrgyzstan,KGZ,1/18/2021,0,0
Laos,LAO,1/18/2021,0,
Latvia,LVA,1/18/2021,244,5
Lebanon,LBN,1/18/2021,3144,53
Lesotho,LSO,1/18/2021,647,8
Liberia,LBR,1/18/2021,9,0
Libya,LBY,1/18/2021,781,33
